id,value
id_0,26
id_1,66
id_2,21
id_3,30
id_4,10
id_5,39
id_6,41
id_7,17
id_8,52
id_9,34
id_10,39
id_11,60
id_12,38
id_13,45
id_14,31
id_15,13
id_16,54
id_17,24
id_18,20
id_19,20
id_20,14
id_21,29
id_22,38
id_23,11
id_24,60
id_25,45
id_26,27
id_27,9
id_28,29
id_29,35
id_30,19
id_31,11
id_32,18
id_33,8
id_34,19
id_35,40
id_36,20
id_37,29
id_38,7
id_39,61
id_40,49
id_41,17
id_42,53
id_43,18
id_44,45
id_45,52
id_46,63
id_47,42
id_48,54
id_49,43
id_50,32
id_51,26
id_52,39
id_53,26
id_54,40
id_55,41
id_56,26
id_57,24
id_58,38
id_59,33
id_60,16
id_61,24
id_62,33
id_63,59
id_64,50
id_65,28
id_66,42
id_67,56
id_68,30
id_69,39
id_70,67
id_71,55
id_72,46
id_73,11
id_74,12
id_75,38
id_76,64
id_77,3
id_78,45
id_79,41
id_80,8
id_81,23
id_82,8
id_83,33
id_84,12
id_85,6
id_86,15
id_87,13
id_88,14
id_89,28
id_90,31
id_91,12
id_92,15
id_93,6
id_94,37
id_95,18
id_96,16
id_97,9
id_98,10
id_99,3
id_100,13
id_101,20
id_102,12
id_103,6
id_104,13
id_105,39
id_106,29
id_107,8
id_108,15
id_109,15
id_110,15
id_111,18
id_112,13
id_113,29
id_114,23
id_115,16
id_116,8
id_117,47
id_118,32
id_119,1
id_120,2
id_121,14
id_122,16
id_123,16
id_124,7
id_125,27
id_126,21
id_127,13
id_128,22
id_129,18
id_130,5
id_131,38
id_132,14
id_133,25
id_134,25
id_135,20
id_136,9
id_137,20
id_138,80
id_139,64
id_140,25
id_141,17
id_142,26
id_143,8
id_144,11
id_145,10
id_146,22
id_147,8
id_148,15
id_149,18
id_150,52
id_151,24
id_152,26
id_153,16
id_154,13
id_155,28
id_156,24
id_157,36
id_158,2
id_159,20
id_160,46
id_161,20
id_162,61
id_163,20
id_164,36
id_165,24
id_166,24
id_167,0
id_168,70
id_169,19
id_170,17
id_171,72
id_172,22
id_173,1
id_174,26
id_175,2
id_176,5
id_177,20
id_178,22
id_179,23
id_180,45
id_181,26
id_182,29
id_183,12
id_184,10
id_185,42
id_186,38
id_187,34
id_188,17
id_189,23
id_190,14
id_191,14
id_192,35
id_193,80
id_194,29
id_195,12
id_196,66
id_197,13
id_198,20
id_199,26
id_200,129
id_201,28
id_202,59
id_203,5
id_204,65
id_205,37
id_206,17
id_207,14
id_208,65
id_209,17
id_210,28
id_211,76
id_212,20
id_213,120
id_214,40
id_215,86
id_216,96
id_217,75
id_218,27
id_219,19
id_220,34
id_221,59
id_222,30
id_223,42
id_224,44
id_225,7
id_226,6
id_227,72
id_228,30
id_229,2
id_230,43
id_231,16
id_232,23
id_233,10
id_234,10
id_235,23
id_236,12
id_237,1
id_238,21
id_239,0
